id,first_name,last_name,gender,race,university,country
1,Ruthie,Traves,Female,Bolivian,Universidad Politécnica de El Salvador,El Salvador
2,Dante,Mohring,Male,Cree,Mamoun Private University for Science and Technology,Syria
3,Woody,Riccetti,Male,Cree,Technical University of Opole,Poland
4,Kip,Aughton,Male,Panamanian,Universidade de Lisboa,Portugal
5,Tamqrah,Eddie,Female,Apache,Universidad Marcelino Champagnat,Peru
6,Alfons,Wozencroft,Male,Venezuelan,Universidad de Antioquía,Colombia
7,Agneta,Barniss,Female,Cheyenne,University of Patras,Greece
8,Thomasin,Thorburn,Female,Guatemalan,Umea University,Sweden
9,Virgilio,Tomaskunas,Male,Tohono O'Odham,Jissen Women's University,Japan
10,Danie,Matevushev,Male,Iroquois,Universidad Obrera de Mexico,Mexico
11,Tobiah,Perigeaux,Male,Mexican,University of the Humanities,Mongolia
12,Dasya,Ortner,Female,Filipino,Heilongjiang August 1st Reclamation University,China
13,Alair,Gainor,Male,Tongan,Institute of Commerce and Business,Mongolia
14,Alyosha,Bassett,Male,Chippewa,Nizhny Novgorod State Technical University,Russia
15,Reidar,McKeaveney,Male,Crow,Chiang Mai University,Thailand
16,Carlina,Aspel,Female,Crow,Universidad Mariano Gálvez,Guatemala
17,Gelya,Brakespear,Female,Uruguayan,Universitas Krisnadwipayana,Indonesia
18,Erl,Airth,Male,Venezuelan,Ukrainian Academy of Banking,Ukraine
19,Jacqui,Kiddie,Female,Melanesian,Université de Versailles Saint-Quentin-en-Yvelines,France
20,Torrie,Glancy,Female,Puerto Rican,New Era University,Philippines
21,Jaquelyn,Lages,Genderqueer,Guamanian,Universidad de Cartagena,Colombia
22,Milty,Grigorini,Male,American Indian and Alaska Native (AIAN),"Universidad CAECE, Buenos Aires",Argentina
23,Bay,Ell,Male,Apache,Chongqing University of Communications,China
24,Hank,Rumsby,Bigender,Delaware,Chongqing Three Gorges University,China
25,Chaunce,Crush,Male,Potawatomi,Tianjin University,China
26,Yank,Mayer,Male,Alaskan Athabascan,Palestine Technical College-Dier Elbalah,Palestinian Territory
27,Felicio,Sextie,Male,Aleut,Universidad del Valle de Guatemala,Guatemala
28,Chiarra,Dossettor,Female,Navajo,Université Paris Nanterre (Paris X),France
29,Lynde,Manton,Female,Chamorro,Kuzbass State Technical University,Russia
30,Stacy,Elsip,Male,Blackfeet,Universidad Valle del Momboy,Venezuela
31,Llewellyn,Tunsley,Male,Panamanian,University of Warsaw,Poland
32,Roze,Pallas,Female,Uruguayan,Université de Ouagadougou,Burkina Faso
33,Berte,Toby,Female,Salvadoran,Tongji University,China
34,Austin,Yegorev,Male,Sioux,Technical University of Lublin,Poland
35,Kelby,Caulfield,Male,Eskimo,China Pharmaceutical University Nanjing,China
36,Pammi,Ramet,Female,Latin American Indian,Mid-Sweden University,Sweden
37,Karoly,Raftery,Male,Sioux,Shanghai University of Finance and Economics,China
38,Obediah,Kleynermans,Male,Crow,Universidade Camilo Castelo Branco,Brazil
39,Neile,Geroldi,Female,Aleut,Instituto Superior de Ciências Empresariais e de Turismo,Portugal
40,Olav,Eteen,Male,Venezuelan,Southwestern University,Philippines
41,Marie-jeanne,Eakens,Female,Argentinian,Universitas Negeri Surabaya,Indonesia
42,Di,Balazin,Female,Cheyenne,Sahmyook University,South Korea
43,Arlene,Normanvell,Female,Melanesian,Zhengzhou Grain University,China
44,Benedikta,Housbey,Female,Navajo,Adamson University,Philippines
45,Marilin,Gohier,Female,Iroquois,University of the Humanities,Mongolia
46,Maria,McGoon,Female,Guatemalan,Hebei United University,China
47,Ainslie,Colthurst,Female,Blackfeet,American College of Thessaloniki,Greece
48,Cam,Handslip,Male,Guamanian,Charles University Prague,Czech Republic
49,Mechelle,Geibel,Female,Houma,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil
50,Madeline,Marcussen,Female,Indonesian,Mesa State College,United States
51,Ware,Beveredge,Male,Fijian,Chicago State University,United States
52,Valentina,Reid,Female,Salvadoran,Palawan State University,Philippines
53,Lars,Doogan,Male,Pueblo,Ateneo de Davao University,Philippines
54,Antony,Woolforde,Male,Cree,Sichuan Normal University,China
55,Sibbie,Steanson,Female,Tlingit-Haida,University of the Philippines Los Banos,Philippines
56,Gabbey,Witherden,Female,Costa Rican,Massey University,New Zealand
57,Lynne,Warland,Female,Chippewa,Lipeck State Technical University,Russia
58,Monique,Yes,Female,Pueblo,Universitas Nasional Jakarta,Indonesia
59,Tab,Allston,Male,Cuban,Northeast Forest University,China
60,Xavier,Hissett,Male,Menominee,Universitas Islam Malang,Indonesia
61,Felic,Dudney,Genderqueer,Ecuadorian,Universidade do Amazonas,Brazil
62,Gun,Darwen,Male,Native Hawaiian,Universidad Motolinía del Pedegral,Mexico
63,Chance,Bissiker,Non-binary,Pakistani,Northeast Forest University,China
64,Guthrie,Astill,Male,Samoan,Ecole Nationale Supérieur de Mécaniques et des Microtechniques,France
65,Mikaela,Nehls,Female,Hmong,Sichuan International Studies University,China
66,Rosmunda,Tidbold,Polygender,Hmong,Universitas Muhammadiyah Jember,Indonesia
67,Jeane,Bassick,Female,Guamanian,"COMSATS Institute of Information Technology, Abbottabad",Pakistan
68,Curcio,Talbot,Genderqueer,South American,Zhengzhou Grain University,China
69,Westbrooke,Batter,Male,Yakama,Beijing Polytechnic University,China
70,Natalya,Trelevan,Female,Menominee,Al-Farabi Kazakh National University,Kazakhstan
71,Alfy,Lockton,Male,Choctaw,Universidad de Montevideo,Uruguay
72,Fernande,Reilly,Female,Paiute,National University,Philippines
73,Rockie,Botterill,Male,Costa Rican,Universitas Muhammadiyah Surakarta,Indonesia
74,Jewell,Lamberteschi,Female,Honduran,Lampang College of Commerce and Technology,Thailand
75,Susy,Meffan,Female,Comanche,Tiraspol State University,Moldova
76,Hasty,Serris,Male,Hmong,Tianjin Polytechnic University,China
77,Randie,Barabisch,Female,Black or African American,Universitas Nasional Pasim,Indonesia
78,Tedd,Gossop,Male,Navajo,Universitas Nusa Cendana,Indonesia
79,Orelle,Foort,Female,Puerto Rican,University College of Kristianstad,Sweden
80,Mikol,Earney,Male,Bolivian,Zhanjiang Ocean University,China
81,Michele,Bachellier,Female,Choctaw,St. Petersburg State University of Technology and Design,Russia
82,Carleton,Peachey,Male,American Indian and Alaska Native (AIAN),Ukhta State Technical University,Russia
83,Gabie,Bursell,Male,Shoshone,Universidade Bandeirante de São Paulo,Brazil
84,Rosana,Girodon,Non-binary,Bangladeshi,Ecole Nationale Supérieure des Industries Textiles de Mulhouse,France
85,Barbi,Brandino,Female,Black or African American,Iwate University,Japan
86,Cobbie,Willgrass,Male,Navajo,"Instituto de Artes Visuais, Design e Marketing - IADE",Portugal
87,Lindsey,Parren,Male,Cheyenne,Universidade Aberta Lisboa,Portugal
88,Marita,Grandham,Female,American Indian and Alaska Native (AIAN),Karolinska Institute Stockholm,Sweden
89,Humfrid,Jacquemet,Polygender,Japanese,Agricultural University of Wroclaw,Poland
90,Tildi,Labin,Female,Malaysian,University of Cagayan Valley,Philippines
91,Laina,Sandham,Female,Alaska Native,Harbin Normal University,China
92,Shane,Revance,Male,Paiute,Ateneo de Zamboanga University,Philippines
93,Serena,Seaton,Female,Asian,University of the Philippines Baguio,Philippines
94,Branden,Espinas,Male,Colombian,Gorno-Altaisk State University,Russia
95,Todd,Ellerbeck,Genderqueer,Asian,Univesidade Agostinho Neto,Angola
96,Jillian,Wilfing,Female,Nicaraguan,St. Petersburg State Marine Technical University,Russia
97,Odelinda,Dahlborg,Female,Houma,International Sakharov Environmental University,Belarus
98,Candy,Paolacci,Female,Mexican,Syktyvkar State University,Russia
99,Koral,Blaszkiewicz,Female,Kiowa,Ningbo University,China
100,Kahaleel,Hastewell,Male,Hmong,Zhejiang Normal University,China
101,Ivan,Empleton,Bigender,Blackfeet,Katholische Stiftungsfachhochschule München,Germany
102,Hanson,Benardet,Male,American Indian and Alaska Native (AIAN),Université de Bangui,Central African Republic
103,Pepito,Edowes,Male,Cree,Universidade Estadual Sudoeste da Bahia,Brazil
104,Kissiah,Panichelli,Female,Chamorro,University College of Gävle,Sweden
105,Hephzibah,Belden,Female,Alaska Native,Kostroma State Technological University,Russia
106,Fay,Lesor,Female,Melanesian,Instituto Superior de Tecnologias Avançadas - ISTEC,Portugal
107,Barbabra,Piotrkowski,Female,Asian Indian,University of Zagreb,Croatia
108,Gerri,Alecock,Male,Central American,South China University of Technology,China
109,Dmitri,Tallant,Male,Apache,Aalborg University,Denmark
110,Lavina,Rapin,Agender,Nicaraguan,Colegio de San Juan de Letran,Philippines
111,Trenton,Leddy,Non-binary,Yuman,Hanoi Open University,Vietnam
112,Regina,Wawer,Female,Malaysian,Philippine Women's University,Philippines
113,Chelsea,Fellow,Female,Yuman,Zhejiang Sci-Tech University ,China
114,Lock,Dukesbury,Male,Tongan,King Mongkut's University of Technology Ladkrabang,Thailand
115,Enrika,Dei,Female,Samoan,Chongqing Education College,China
116,Bernita,Bowman,Female,Choctaw,University of Negros Occidental-Recoletos,Philippines
117,Wilbert,Castiglioni,Male,Alaskan Athabascan,Shanxi Agricultural University,China
118,Sigfried,Winchcum,Male,Colombian,Yunnan Agriculture University,China
119,Bobbye,Winkless,Female,Cree,East Kazakhstan State University,Kazakhstan
120,Janette,Gendrich,Female,Dominican (Dominican Republic),Linguistic University of Nizhny Novgorod,Russia
121,Berti,Northrop,Male,Polynesian,Instituto Superior de Informática e Gestão,Portugal
122,Ursola,Dumbreck,Agender,Crow,China University of Mining Technology - Beijing,China
123,Reece,Boteman,Male,Menominee,Hebei University of Economics and Trade,China
124,Shari,O'Sculley,Female,Colombian,Ecole Supérieure des Techniques Industrielles et des Textiles,France
125,Fonzie,Sasser,Male,Venezuelan,Gansu Agricultural University,China
126,Kissie,Kovelmann,Female,Yakama,Université Paul Valéry (Montpellier III),France
127,Michele,Avramovitz,Bigender,Ottawa,Korea National University of Education,South Korea
128,Inga,Bull,Female,Sioux,Universitas Sriwijaya,Indonesia
129,Faustine,Aspey,Female,Osage,University of the Philippines Diliman,Philippines
130,Killie,Boots,Polygender,Yuman,Centro Universitário Serra dos Órgãos,Brazil
131,Aurelea,Morten,Female,Mexican,Military University Shoumen,Bulgaria
132,Jess,Congreve,Male,Central American,Universidade de Mogi das Cruzes,Brazil
133,Genevra,Riddoch,Female,Puget Sound Salish,Alfred Nobel University of Economics and Law ,Ukraine
134,Johnathan,Folkerd,Male,Black or African American,"Institue of Technology, Tralee",Ireland
135,Guilbert,Lebreton,Male,Alaska Native,Central University for Nationalities,China
136,Elwyn,Hargrove,Male,American Indian and Alaska Native (AIAN),University of Southern Mindanao,Philippines
137,Laurie,Schwandermann,Male,Yakama,Universitas 17 Agustus 1945 Jakarta,Indonesia
138,Dolli,O'Sirin,Female,Honduran,Technical University of Opole,Poland
139,Dulcy,Turone,Female,Eskimo,University of Belize,Belize
140,Andreas,Cowlishaw,Male,Chamorro,Shenyang University,China
141,Gwenette,Byram,Female,Cuban,Lulea University of Technology,Sweden
142,Margarete,Rainville,Female,Blackfeet,Changchun University of Technology,China
143,Thibaud,Hekkert,Male,Apache,Shaanxi Normal University,China
144,Penn,Topling,Male,Houma,Baghlan University,Afghanistan
145,Cobbie,Althrop,Bigender,Black or African American,Universitas Katolik Widya Karya,Indonesia
146,Neddy,Sink,Male,Delaware,Université de Ouagadougou,Burkina Faso
147,Karoly,Renish,Male,Malaysian,Hebei Normal University,China
148,Crista,Arias,Bigender,Vietnamese,Taylor's University College,Malaysia
149,Sigismundo,Slark,Male,Korean,Lazarski School of Commerce and Law,Poland
150,Royal,Letcher,Male,Tlingit-Haida,University College of Applied Sciences,Palestinian Territory
151,Leilah,Beswetherick,Female,Venezuelan,Nankai University,China
152,Husein,McKeaney,Male,Latin American Indian,Universitas Dian Nuswantoro,Indonesia
153,Wells,Mac Geaney,Male,Salvadoran,Ibn Sina University,Afghanistan
154,Sherlocke,Dunbobin,Male,Alaskan Athabascan,Walcz College,British Virgin Islands
155,Evered,Lagne,Male,Indonesian,Technological University (Meikhtila),Myanmar
156,Annora,Booth-Jarvis,Female,Melanesian,University of Electronic Science and Technology of China,China
157,Milicent,Endersby,Female,Yaqui,Northeast Forest University,China
158,Randi,Renouf,Male,Cree,Dimocritus University of Thrace,Greece
159,Hall,Chillingsworth,Male,Aleut,Kuwait University,Kuwait
160,Harwell,Lomond,Male,Taiwanese,University of Petroleum (East China),China
161,Charlton,Glusby,Male,Samoan,International People's College,Denmark
162,Gloria,Kollaschek,Female,Ottawa,University of Fine Arts Belgrade,Serbia
163,Korey,Dukes,Male,Osage,Universidad de Norteamerica,Mexico
164,Catharine,Wastell,Female,Yuman,West China University of Medical Sciences,China
165,Gigi,Weepers,Female,Uruguayan,National Pedagogical University M. Dragomanov ,Ukraine
166,Filmer,Giotto,Male,Puerto Rican,"Universidad CAECE, Buenos Aires",Argentina
167,Sada,Bilbey,Female,Costa Rican,Tver State University,Russia
168,Iolanthe,Strathe,Female,Spaniard,Zhongnan University of Economics and Law,China
169,Timmy,Greengrass,Female,Yakama,Yemenia University,Yemen
170,Hiram,Rattry,Agender,Filipino,Beijing Information Science and Technology University,China
171,Grant,Isaak,Male,Aleut,University of Saint La Salle,Philippines
172,Julieta,Bechley,Non-binary,Delaware,Université de Bouaké,Ivory Coast
173,Erin,Gilders,Male,Chilean,Luhansk Taras Shevchenko National Pedagogical University,Ukraine
174,Jeanna,Remer,Female,Central American,Angeles University,Philippines
175,Brade,Tuft,Male,Panamanian,Texila American University,Guyana
176,Letitia,Tomeo,Female,Ecuadorian,Niger Delta University,Nigeria
177,Claiborne,Joreau,Male,Cherokee,Universidad Nacional de San Cristóbal de Huamanga,Peru
178,Trula,Dominiak,Female,Cherokee,University of Saint La Salle,Philippines
179,Merl,Coughan,Female,Paiute,Universidade Federal de Rondônia,Brazil
180,Sigvard,Skirven,Male,Black or African American,University of the Philippines Baguio,Philippines
181,Durward,Poltun,Male,Venezuelan,Norwegian School of Management BI,Norway
182,Broderick,Meekin,Male,Costa Rican,Instituto Politécnico de Castelo Branco,Portugal
183,Toby,Abramowitch,Male,Venezuelan,Kigali Health Institute,Rwanda
184,Wallas,Dunstall,Male,Yaqui,Universidade de Aveiro,Portugal
185,Bryan,Doerr,Male,Cambodian,Zhongnan University of Finance and Economics,China
186,Alta,Tewes,Female,Taiwanese,Universitas Katolik Widya Manadala,Indonesia
187,Morley,Trewin,Male,Houma,Chongqing University of Technology,China
188,Orv,Tothe,Male,Vietnamese,Technological University (Meikhtila),Myanmar
189,Zarla,Maidment,Non-binary,Sri Lankan,Sheridan College,Canada
190,Moyra,Threader,Female,Korean,Universidade Federal de Mato Grosso do Sul,Brazil
191,Laird,MacPaike,Male,Chinese,Changsha Railway University,China
192,Pru,Merton,Female,Asian,"Fine Arts Academy ""Jan Matejko"" in Cracow",Poland
193,Renata,Giabucci,Female,Comanche,Universitas Pancasakti Tegal,Indonesia
194,Dorella,Kinzel,Female,Bangladeshi,Zhongshan University,China
195,Claudell,Skene,Male,Comanche,Shanghai TieDao University,China
196,Rolf,Novotni,Male,South American,University of King's College,Canada
197,Mickie,Campany,Female,Salvadoran,Ionian University Corfu,Greece
198,Fanchette,Barbery,Female,Puerto Rican,State Engineering University of Armenia,Armenia
199,Franny,Sprigin,Male,Tohono O'Odham,Universitas Negeri Gorontalo,Indonesia
200,Zachariah,Pethick,Non-binary,Iroquois,Swiss German University,Indonesia
201,Mureil,Wooland,Female,Black or African American,Universitas Negeri Malang,Indonesia
202,Gideon,Cherm,Male,Cuban,Palacky University,Czech Republic
203,Andrej,Donaghie,Male,Bolivian,Kwara State Polytecnic,Nigeria
204,Ileane,Dartnell,Female,Vietnamese,Wageningen University,Netherlands
205,Tailor,Hedlestone,Male,Uruguayan,Université de Toulouse-le-Mirail (Toulouse II),France
206,Alvina,Youthead,Female,Pakistani,Universidad Católica Argentina Santa Maria de los Buenos Aires,Argentina
207,Kory,Fasler,Male,Peruvian,Universidade Veiga de Almeida,Brazil
208,Katherine,McNickle,Female,Crow,Universidade Vale do Rio dos Sinos,Brazil
209,Iona,Beidebeke,Female,Tlingit-Haida,Yangzhou University,China
210,Wilden,Masdon,Male,Chamorro,Universitas Pasundan,Indonesia
